''head'';884218:(1,1.0,[3])
''nation;883502:(1,1.0,[2])
'100;883851:(1,1.0,[368])
'60;884418:(1,1.0,[30])
'70;882511:(1,1.0,[11]);883483:(2,1.3,[301, 459]);884306:(1,1.0,[27])
'73;882952:(1,1.0,[1])
'74;882767:(1,1.0,[2]);883301:(1,1.0,[2]);883409:(1,1.0,[60])
'75;883301:(1,1.0,[3]);883409:(1,1.0,[61])
'79;882751:(1,1.0,[7])
'80;882583:(1,1.0,[1]);884306:(1,1.0,[28]);885085:(1,1.0,[52])
'85;883475:(1,1.0,[10])
'88;881947:(1,1.0,[36])
'90;883483:(1,1.0,[6])
'94;885177:(1,1.0,[2])
'a;885304:(2,1.3,[29, 52])
'advanc;883376:(1,1.0,[11])
'all;883398:(1,1.0,[5])
'altern;882220:(2,1.3,[796, 1332])
'american;883851:(1,1.0,[175])
'and;883462:(1,1.0,[42])
'appl;882220:(1,1.0,[571])
'applause';884265:(4,1.6,[1, 38, 48, 68])
'arnold;882220:(1,1.0,[566])
'arrrrrrr';883560:(1,1.0,[166])
'artpop';884265:(1,1.0,[43])
'assume';883198:(1,1.0,[5])
'autumn;882150:(1,1.0,[481])
'aziza;883096:(1,1.0,[59])
'bachata';884189:(1,1.0,[11])
'barrett';882220:(3,1.48,[340, 794, 1330])
'beachfront;882364:(1,1.0,[29])
'benedictus';885360:(1,1.0,[12])
'bob;882220:(1,1.0,[237])
'bombshell';883851:(1,1.0,[378])
'bonus';883409:(2,1.3,[563, 717])
'bourne';882205:(2,1.3,[112, 281])
'butch';882802:(1,1.0,[21])
'can;882205:(1,1.0,[235]);884943:(1,1.0,[134]);885137:(1,1.0,[54])
'caus;882452:(1,1.0,[31]);882477:(1,1.0,[31]);882556:(1,1.0,[31]);883941:(1,1.0,[0])
'cemetery';882205:(2,1.3,[216, 232])
'che;883681:(1,1.0,[26])
'clean;883509:(1,1.0,[8])
'coffin';882205:(2,1.3,[245, 353])
'dark;882220:(2,1.3,[922, 1458])
'develop;882205:(1,1.0,[156])
'downhill';883851:(1,1.0,[8])
'driving';882205:(1,1.0,[227])
'em;882965:(1,1.0,[570]);883173:(2,1.3,[1, 25]);883771:(2,1.3,[13, 18]);884074:(1,1.0,[1]);884880:(1,1.0,[25]);885599:(1,1.0,[24])
'endeavour;883270:(1,1.0,[579])
'final;882220:(2,1.3,[974, 1510])
'flamingo';883376:(1,1.0,[9])
'flamino';883376:(1,1.0,[5])
'for;884984:(1,1.0,[205])
'funeral';882205:(1,1.0,[298])
'get;882205:(3,1.48,[201, 264, 360])
'gilmour;882220:(2,1.3,[976, 1512])
'girl;884976:(1,1.0,[3])
'goodbye';882205:(1,1.0,[131])
'grief;884943:(1,1.0,[166])
'groov;885742:(1,1.0,[16])
'he;881918:(1,1.0,[10])
